PR_65_52_00_00    PIPELINES
PR_80_77_94_00.2110C    RUBBER MATTING PIPEWORK NOISE VIBRATION ISOLATION:
PR_80_77_94_00.2120A    SPONGE FOAM PIPE WALL AND RISER SEALS:
PR_80_77_94_00.2120B    MINERAL FIBRE PACKING PIPE WALL AND RISER SEALS:
PR_80_77_94_00.3010    GENERAL:
PR_80_77_94_00.3020    CAST IN SITU BASES:
PR_80_77_94_00.3030    FIXING:
PR_80_77_94_00.3040    HORIZONTALLY RESTRAINED SPRING MOUNTINGS:
PR_40_10_57_26    IDENTIFICATION - MECHANICAL
PR_40_10_57_26.1000    GENERAL
54.1020 NEW    SYSTEMS:
PR_40_10_57_26.1030 EXISTING    SYSTEMS:
PR_40_10_57_26.2010    PIPEWORK IDENTIFICATION:
PR_40_10_57_26.2020    DUCTWORK IDENTIFICATION:
PR_40_10_57_26.2030B    PLANT AND EQUIPMENT IDENTIFICATION, LAMINATED PLATES:
PR_40_10_57_26.2035    GRAPHICAL SYMBOLS FOR USE ON EQUIPMENT IN ACCORDANCE WITH BS EN 80416:
PR_40_10_57_26.2040    VALVE AND COCK IDENTIFICATION:
PR_40_10_57_26.2070    AIR VOLUME REGULATING AND CONTROL DAMPER IDENTIFICATION:
PR_40_10_57_26.2080    INSTRUMENT IDENTIFICATION:
PR_40_10_57_26.2090    DANGER AND WARNING NOTICES:
PR_40_10_57_26.2100A    SYSTEM IDENTIFICATION INSTALLATION CHARTS, PERSPEX GLAZED FRAME:
PR_65_70_11_00    CONDUIT AND CABLE TRUNKING
PR_65_70_11_00.1000    GENERAL 
PR_65_70_11_00.1010    STANDARDS:
PR_65_70_11_00.2010A    CONDUIT SYSTEMS METAL RIGID All CLASSES
PR_65_70_11_00.2010A    CONDUIT SYSTEMS METAL RIGID CLASS 2: 
PR_65_70_11_00.2010B    CONDUIT SYSTEMS METAL RIGID CLASS 4: 
PR_65_70_11_00.2010E    CONDUIT SYSTEMS - NON-METALLIC RIGID: 
PR_65_70_11_00.2010F    CONDUIT SYSTEMS - NON METALLIC FLEXIBLE: 
PR_65_70_11_00.2020A    RIGID CONDUIT SYSTEM - METALLIC  CONDUIT 
PR_65_70_11_00.2030A    RIGID CONDUIT SYSTEM - INSULATING CONDUIT: 
PR_65_70_11_00.2050A    PLIABLE OR FLEXIBLE CONDUIT SYSTEMS - NON-METALLIC: 
PR_65_70_11_00.2090B    METAL SURFACE TRUNKING - ZINC FINISH: 
PR_65_70_11_00.2090D    FLUSH FLOOR TRUNKING: 
PR_65_70_11_00.2090E    STEEL DADO TRUNKING: 
PR_65_70_11_00.2100A    UNDERFLOOR STEEL TRUNKING: 
PR_65_70_11_00.2110A    TRUNKING SERVICE OUTLET BOXES: 
PR_65_70_11_00.2120A    POWER POLES: 
PR_65_70_11_00.2130C    PVC DADO TRUNKING - GENERAL PURPOSE: 
PR_65_70_11_00.2150A    SEPARATE OR MULTI-COMPARTMENT TRUNKING: 
PR_65_70_11_00.2170    SUPPORTS AND FIXINGS: 
PR_65_70_11_00.3010A    GENERAL: 
PR_65_70_11_00.3020    LAYOUT: 
PR_65_70_11_00.3030    SPACING: 
PR_65_70_11_00.3040    CONDENSATION PREVENTION: 
PR_65_70_11_00.3050A    PROTECTION AND REPAIR OF STEEL COMPONENTS: 
PR_65_70_11_00.3060    EQUIPMENT CONNECTIONS: 
PR_65_70_11_00.3070    CLEANING BEFORE WIRING: 
PR_65_70_11_00.3080A    WIRING: 
PR_65_70_11_00.3090    BUILDERSWORK: 
PR_65_70_11_00.4010    DRAW-IN BOXES: 
PR_65_70_11_00.4020    INSTALLATION OF CAST IN OR BURIED CONDUIT: 
PR_65_70_11_00.4030    CONDUIT BOXES: 
PR_65_70_11_00.4040    FIXING CONDUIT: 
PR_65_70_11_00.4050    FLEXIBLE AND PLIABLE CONDUIT: 
PR_65_70_11_00.4060    SCREWED STEEL CONDUIT: 
PR_65_70_11_00.4070A    NON-METALLIC CONDUIT: 
PR_65_70_11_00.4080    UNDERGROUND INSTALLATION: 
PR_65_70_11_00.5020    ACCESS: 
PR_65_70_11_00.5030A    FIXING TRUNKING: 
PR_65_70_11_00.5040A    STEEL TRUNKING: 
PR_65_70_11_00.5050    UNDERFLOOR AND FLUSH FLOOR TRUNKING INSTALLATION: 
PR_65_70_11_00.5060    TRUNKING OF INSULATING MATERIAL: 
PR_65_70_36/48_00    HV/LV CABLES AND WIRING
PR_65_70_36/48_00.1000    GENERAL 
PR_65_70_36/48_00.1010    CABLE MANUFACTURER:
PR_65_70_36/48_00.1020    CABLE CERTIFICATION MARKING:
PR_65_70_36/48_00.2005    LSOH SHEATHING: 
PR_65_70_36/48_00.2010D    STANDARD ORDINARY FLEXIBLE CORDS - MULTI COPPER CORES: 
PR_65_70_36/48_00.2020A    STANDARD POWER SUPPLY CABLES, COPPER CONDUCTORS, THERMOSETTING INSULATION, SHEATHED: 
PR_65_70_36/48_00.2020B    STANDARD POWER SUPPLY CABLES, COPPER CONDUCTORS, THERMOSETTING INSULATION, SHEATHED AND ARMOURED: 
PR_65_70_36/48_00.2020C    STANDARD POWER SUPPLY CABLES, COPPER CONDUCTORS, PVC INSULATION, SHEATHED: 
PR_65_70_36/48_00.2020E    STANDARD POWER SUPPLY CABLES, COPPER CONDUCTORS, LSF SHEATHED AND ARMOURED: 
PR_65_70_36/48_00.2020G    STANDARD CABLES FOR CONDUIT AND TRUNKING, COPPER CONDUCTORS, LSF INSULATED: 
PR_65_70_36/48_00.2020J    STANDARD FLAT CABLES, 2-CORE OR 3-CORE, COPPER CONDUCTORS WITH OR WITHOUT CPC, LSF INSULATED SHEATHED: 
PR_65_70_36/48_00.2020K    STANDARD POWER SUPPLY CABLES, COPPER CONDUCTORS LSF INSULATION, SHEATHED: 
PR_65_70_36/48_00.2020M    STANDARD CABLES WITH DEFINITE FIRE PERFORMANCE: 
PR_65_70_36/48_00.2020N    STANDARD CABLES FOR WALLS, PARTITIONS AND BUILDING VOIDS WHERE PENETRATION BY SHARP OBJECTS IS A HIGH RISK: 
PR_65_70_36/48_00.2040B    LIGHT DUTY MINERAL INSULATED CABLES, LSF OUTER COVERING: 
PR_65_70_36/48_00.2050B    PAIRED, SCREENED CONTROL CABLES WITH OR WITHOUT METALLIC PROTECTION: 
PR_65_70_36/48_00.2050G    MULTI-CORE UNARMOURED LSF, SHEATHED AUXILIARY CABLES: 
PR_65_70_36/48_00.2070B    STANDARD COMMUNICATIONS CABLES FOR INDOOR USE: 
PR_65_70_36/48_00.2080A    STANDARD COAXIAL CABLES, FOR BROADCAST RECEIVING: 
PR_65_70_36/48_00.2100A    INFORMATION TECHNOLOGY CABLES - STRUCTURED WIRING: CATEGORY 5: 
PR_65_70_36/48_00.3010A    CABLES GLANDS - UNARMOURED CABLES: 
PR_65_70_36/48_00.3010C    CABLES GLANDS - ARMOURED CABLES
PR_65_70_36/48_00.3020B    CABLE SEALS - HEAVY AND LIGHT DUTY MINERAL INSULATED CABLES - PROTECTED 'E' FOR HAZARDOUS AREAS: 
PR_65_70_36/48_00.3110A    CABLE DUCTS: 
PR_65_70_36/48_00.3120A    CABLE SLEEVES: 
PR_65_70_36/48_00.3130A    CABLE COVERS AND MARKERS: 
PR_65_70_36/48_00.4010    CABLE INSTALLATION - GENERAL: 
PR_65_70_36/48_00.4020    CABLE INSTALLATION IN LOW TEMPERATURES: 
PR_65_70_36/48_00.4030    INSTALLATION OF LSF CABLE: 
PR_65_70_36/48_00.4040    INSTALLATION OF UNARMOURED CABLES: 
PR_65_70_36/48_00.4060    CABLE INSTALLATION IN TRENCHES: 
PR_65_70_36/48_00.4090A    CABLE INSTALLATION IN CONDUIT AND TRUNKING: 
PR_65_70_36/48_00.4110A    CABLE INSTALLATION: 
PR_65_70_36/48_00.4120A    CABLE EMBEDDED INSTALLATION: 
PR_65_70_36/48_00.4130A    CABLE INSTALLATION - MINERAL INSULATED CABLES: 
PR_65_70_36/48_00.4140    CABLE INSTALLATION - FLEXIBLE CORDS: 
PR_65_70_36/48_00.4150A    CABLE JOINTING AND TERMINATING GENERALLY: 
PR_65_70_36/48_00.4180A    TERMINATING - MINERAL INSULATED CABLES: 
PR_65_70_36/48_00.4190A    CABLE JOINTS - MINERAL INSULATED CABLES: 
PR_60_70_48_06    BUSBAR TRUNKING
PR_60_70_48_06.1000    GENERAL 
PR_60_70_48_06.1010            BUSBAR TRUNKING SYSTEMS STANDARDS:
PR_60_70_48_06.1020    POWER TRACK SYSTEMS:
PR_60_70_48_06.2010A    GENERAL PURPOSE BUSBAR: 
PR_60_70_48_06.2020A    GENERAL PURPOSE BUSBAR TRUNKING: 
PR_60_70_48_06.2040A    INTERNAL PROTECTIVE CONDUCTORS: 
PR_60_70_48_06.3010    GENERAL: 
PR_60_70_48_06.3020    BONDING: 
PR_60_70_48_06.3030    EXPANSION: 
PR_60_70_48_06.3050    FIRE BARRIERS: 
PR_65_70_11_00    SUPPORT COMPONENTS - CABLES
PR_65_70_11_00.1000    GENERAL 
PR_65_70_11_00.1010    APPLICATION:
PR_65_70_11_00.2010A    CABLE SUPPORTS AND FINISHES: 
PR_65_70_11_00.2020A    CABLE SUPPORT SYSTEM - PERFORATED TRAY: 
PR_65_70_11_00.2020B    CABLE SUPPORT SYSTEM - CABLE RACK: 
PR_65_70_11_00.2025A    CABLE SUPPORT SYSTEM - PROPRIETARY CABLE TIES: 
PR_65_70_11_00.2025C    CABLE SUPPORT SYSTEM - TWO WAY SADDLES: 
PR_65_70_11_00.2025D    CABLE SUPPORT SYSTEM - CABLE BASKET: 
PR_65_70_11_00.3010    CABLE TRAY INSTALLATION: 
PR_65_70_11_00.3020A    CABLE CLEATS, TIES, SADDLES AND CLIPS INSTALLATION: 
PR_60_70_48_00    LV SWITCHGEAR AND DISTRIBUTION BOARDS
PR_60_70_48_00.2010A    CUBICLE SWITCHBOARD / CONTROL PANEL
PR_60_70_48_00.2020A    FLOOR STANDING ASSEMBLY CONSTRUCTION: 
PR_60_70_48_00.2020B    WALL MOUNTED ASSEMBLY CONSTRUCTION: 
PR_60_70_48_00.2030A    ENCLOSURE FINISH: 
PR_60_70_48_00.2060    SITE BUILT ASSEMBLIES: 
PR_60_70_48_00.2070    SITE MODIFICATION: 
PR_60_70_48_00.2080A    WALL MOUNTED, BATTERY CHARGER AND BATTERY UNIT: 
PR_60_70_48_00.2090A    UTILISATION A, WITHDRAWABLE AIR BREAK CIRCUIT BREAKERS: 
PR_60_70_48_00.2090D    UTILISATION B, MCCB AIR BREAK CIRCUIT BREAKERS: 
PR_60_70_48_00.2100A    SWITCH DISCONNECTORS: 
PR_60_70_48_00.2100B    FUSE COMBINATION UNITS: 
PR_60_70_48_00.2110A    RESET PROTECTION DEVICES INTERPOSING RELAYS AND INTER-TRIPPING RELAYS: 
PR_60_70_48_00.2120    VOLTAGE SENSING RELAYS: 
PR_60_70_48_00.2130    TRIP/CLOSE SWITCHES AND CONTROL SELECTOR SWITCHES: 
PR_60_70_48_00.2140    CURRENT TRANSFORMERS: 
PR_60_70_48_00.2150A    INSTRUMENTS AND METERS: 
PR_60_70_48_00.2160A    ELECTRICAL RECORDING INSTRUMENTS: 
PR_60_70_48_00.2170A    INDICATOR LIGHTS: 
PR_60_70_48_00.2180    LOW VOLTAGE COILS RATING: 
PR_60_70_48_00.2190A    FRAMEWORK: 
PR_60_70_48_00.2210A    DISTRIBUTION BOARDS: 
PR_60_70_48_00.2200A    FUSES: 
PR_60_70_48_00.2230A    MINIATURE CIRCUIT BREAKERS: 
PR_60_70_48_00.2240A    RESIDUAL CURRENT DEVICE: 
PR_60_70_48_00.2245    COMBINED RESIDUAL CURRENT/OVER CURRENT OPERATED CIRCUIT BREAKERS: 
PR_60_70_48_00.2250    CABLE TERMINATIONS: 
PR_60_70_48_00.2270A    FREE STANDING/ WALL MOUNTED/ WITHIN SWITCHGEAR AUTOMATICALLY CONTROLLED CAPACITOR BANKS: 
PR_60_70_48_00.2280A    HARMONIC FILTER: 
PR_60_70_48_00.2290A    MEDIUM VOLTAGE IRON CORE FILTER REACTOR: 
PR_60_70_48_00.3010    FIXING: 
PR_60_70_48_00.3020    MOUNTING HEIGHT: 
PR_60_70_48_00.3030    ACCESS: 
PR_60_70_48_00.3040A    MARKING AND DRAWING: 
PR_60_70_48_00.3050    CABLE TERMINATIONS: 
PR_60_70_48_00.3060A    INSTALLATION AND COMMISSIONING: 
PR_75_51_52_00    CONTACTORS AND STARTERS
PR_75_51_52_00.1000    GENERAL 
PR_75_51_52_00.1010A    3 PHASE SUPPLY: 
PR_75_51_52_00.1010B    SINGLE PHASE ELECTRICAL SUPPLY:
PR_75_51_52_00.1020B    INSTALLER FITTED SURGE SUPPRESSORS: 
PR_75_51_52_00.1030A    MANUFACTURER FITTED TRANSIENT SUPPRESSORS: 
PR_75_51_52_00.2010A    CONTROLGEAR ASSEMBLY: 
PR_75_51_52_00.2020A    ASSEMBLY CONSTRUCTION: 
PR_75_51_52_00.2030A    ENCLOSURE FINISH: 
PR_75_51_52_00.2040    SITE MODIFICATION: 
PR_75_51_52_00.2050C    CONTINUOUS LV CONTACTORS AND MOTOR STARTERS: 
PR_75_51_52_00.2060A    CONTROL CIRCUIT DEVICES: 
PR_75_51_52_00.2070A    ISOLATING SWITCHES: 
PR_75_51_52_00.2080A    CONTROL SELECTOR SWITCHES: 
PR_75_51_52_00.2090A    IN-BUILT PUSH BUTTONS: 
PR_75_51_52_00.2110A    CONTACTOR CONTROL RELAYS: 
PR_75_51_52_00.2120A    CONTROL AND INDICATOR LIGHT CIRCUIT FUSES: 
PR_75_51_52_00.2130A    MOTOR STARTERS - MOTORS BELOW 0.37 KW: 
PR_75_51_52_00.2130B    MOTOR STARTERS - MOTORS OF 0.37KW AND ABOVE: 
PR_75_51_52_00.2140    CURRENT LIMITING MOTOR STARTERS: 
PR_75_51_52_00.2150    DIRECT-ON-LINE MOTOR STARTERS: 
PR_75_51_52_00.2160    STAR DELTA MOTOR STARTERS: 
PR_75_51_52_00.2170A    AUTO-TRANSFORMER MOTOR STARTERS: 
PR_75_51_52_00.2180A    STATOR ROTOR MOTOR STARTERS: 
PR_75_51_52_00.2190A    CONTROL PANEL INVERTOR MOTOR STARTERS: 
PR_75_51_52_00.2190B    MOTOR CONTROL CENTRE INVERTER MOTOR STARTERS: 
PR_75_51_52_00.2200    AUTOMATIC CHANGEOVER FOR RUN/STANDBY DUTY - SINGLE POWER SUPPLY: 
PR_75_51_52_00.2210    AUTOMATIC CHANGEOVER FOR RUN/STANDBY DUTY - DUAL POWER SUPPLY: 
PR_75_51_52_00.2220    CONTROL CIRCUIT TRANSFORMERS: 
PR_75_51_52_00.2230A    SWITCHING AND INDICATION: 
PR_75_51_52_00.2240    AUDIBLE ALARMS: 
PR_75_51_52_00.2250A    PROGRAMMABLE LOGIC CONTROLLERS: 
PR_75_51_52_00.2260A    STARTER AND CONTROL PANEL INTERNAL WIRING: 
PR_75_51_52_00.2270A    COMPONENT MOUNTING: 
PR_75_51_52_00.2280A    CONTROL SYSTEM FUNCTION CHARTS: 
PR_75_51_52_00.3010    INSTALLATION: 
PR_70_70_48_00    LUMINAIRES AND LAMPS
PR_70_70_48_00.2005    LAMP EFFICACY: 
PR_70_70_48_00.2010A    LUMINAIRES - GENERAL PURPOSE: 
PR_70_70_48_00.2010B    LUMINAIRES - GENERAL PURPOSE WITH SAFETY GLASS: 
PR_70_70_48_00.2010C    LUMINAIRES - SPECIAL APPLICATIONS: 
PR_70_70_48_00.2020A    EMERGENCY LIGHTING LUMINAIRES: 
PR_70_70_48_00.2040A    HAZARDOUS AREA LUMINAIRES: 
PR_70_70_48_00.2060A    LAMPHOLDERS - GENERALLY: 
PR_70_70_48_00.2080A    LAMPHOLDERS - MOUNTING: 
PR_70_70_48_00.2090A    CONTROL GEAR AND COMPONENTS: 
PR_70_70_48_00.2095    CIRCUIT LOSSES: 
PR_70_70_48_00.2100A    FLUORESCENT LAMP BALLASTS AND STARTERS: 
PR_70_70_48_00.2110A    DISCHARGE LAMP BALLASTS AND STARTERS: 
PR_70_70_48_00.2120A    CAPACITORS: 
PR_70_70_48_00.2130    SUPPLY TERMINALS: 
PR_70_70_48_00.2160    REMOTE GEAR: 
PR_70_70_48_00.2180A    FLUORESCENT LAMPS: 
PR_70_70_48_00.2190    HIGH PRESSURE MERCURY VAPOUR LAMPS: 
PR_70_70_48_00.2215A    LED LAMPS: 
PR_70_70_48_00.2220A    TRANSFORMERS FOR LV LUMINAIRES: 
PR_70_70_48_00.2240A    SUPPORT SYSTEM - CONDUIT: 
PR_70_70_48_00.2250A    SUPPORT SYSTEM - ROD: 
PR_70_70_48_00.2260A    SUPPORT SYSTEM - CHAIN: 
PR_70_70_48_00.2270A    SUPPORT SYSTEM - FLEXIBLE CORD: 
PR_70_70_48_00.2280A    SUPPORT SYSTEM - WALL BRACKETS: 
PR_70_70_48_00.2290    SUPPORT SYSTEM - BALL AND SOCKET: 
PR_70_70_48_00.2295    SUPPORT SYSTEM - WIRE ROPE: 
PR_70_70_48_00.2300A    STEEL COLUMNS AND BOLLARDS: 
PR_70_70_48_00.2300C    ALUMINIUM COLUMNS AND BOLLARDS: 
PR_70_70_48_00.3010A    TRACK LIGHTING: 
PR_70_70_48_00.3030A    AIR HANDLING LUMINAIRES: 
PR_70_70_48_00.4060    MATERIAL OF SUPPORTING SURFACE: 
PR_70_70_48_00.4110    SUPPORT 
PR_70_70_48_00.4120    SUPPORT FROM CONDUIT: 
PR_70_70_48_00.4130    SUPPORT FROM TRUNKING: 
PR_70_70_48_00.4140A    SUPPORT BY DIRECT FIXING: 
PR_70_70_48_00.4160    SUSPENSION: 
PR_70_70_48_00.4170    SUSPENSION BY ROD: 
PR_70_70_48_00.4180    SUSPENSION BY CHAIN: 
PR_70_70_48_00.4210A    COLUMNS AND BOLLARDS: 
PR_70_70_48_00.4220    CONNECTIONS TO LUMINAIRES 
PR_70_70_48_00.4230A    CONNECTIONS TO LUMINAIRES - DIRECT TO CONDUIT - TERMINAL BOX: 
PR_70_70_48_00.4230B    CONNECTIONS TO LUMINAIRES - DIRECT TO CONDUIT - AT LUMINAIRE: 
PR_70_70_48_00.4240B    CONNECTIONS TO LUMINAIRES - DIRECT TO TRUNKING - AT LUMINAIRE: 
PR_70_70_48_00.4260A    CONNECTIONS TO LUMINAIRES - RECESSED FITTINGS - PLUG AND SOCKET: 
PR_70_70_48_00.4270    CONNECTIONS TO LUMINAIRES - CONDUIT SUSPENSION: 
PR_70_70_48_00.4280    CONNECTIONS TO LUMINAIRES - ROD OR CHAIN SUSPENSION: 
PR_70_70_48_00.4290    CONNECTIONS TO LUMINAIRES - MICS CABLE: 
PR_70_70_48_00.4300A    SEPARATE LIGHTING SWITCHES ON DIFFERENT PHASES: 
PR_70_70_48_00.4300B    PHASE BARRIER LIGHTING SWITCHES ON DIFFERENT PHASES: 
PR_65_72_00_00    ACCESSORIES FOR ELECTRICAL SERVICES
PR_65_72_00_00.1000    GENERAL: 
PR_65_72_00_00.1010    APPLICATION:
PR_65_72_00_00.1020    SAMPLES:
PR_65_72_00_00.2010A    ACCESSORIES COMMON REQUIREMENTS 
PR_65_72_00_00.2010A    WHITE PLASTIC PLATES GRID, FLUSH INSTALLATION: 
PR_65_72_00_00.2010B    MATT CHROME FINISH METAL PLATES, FLUSH INSTALLATION: 
PR_65_72_00_00.2010D    METAL CLAD PLATES, SURFACE STEEL CONDUIT INSTALLATION: 
PR_65_72_00_00.2010E    SURFACE, STEEL CONDUIT, WEATHERPROOF INSTALLATION: 
PR_65_72_00_00.2010F    SURFACE, PLASTIC, WEATHERPROOF INSTALLATION: 
PR_65_72_00_00.2020A    INTERIOR LIGHTING SWITCHES – COMMON REQUIREMENTS
PR_65_72_00_00.2020A    INTERIOR LIGHTING SWITCHES - GENERAL PURPOSE MOULDED PLASTIC: 
PR_65_72_00_00.2020B    INTERIOR LIGHTING SWITCHES - GRID MOULDED PLASTIC: 
PR_65_72_00_00.2020C    INTERIOR LIGHTING SWITCHES - PULL CORD: 
PR_65_72_00_00.2020D    INTERIOR LIGHTING SWITCHES - GENERAL PURPOSE SECRET KEY: 
PR_65_72_00_00.2020F    INTERIOR LIGHTING SWITCHES - GRID SECRET KEY: 
PR_65_72_00_00.2030A    EXTERIOR LIGHTING SWITCHES - METAL CLAD ROTARY: 
PR_65_72_00_00.2030B    EXTERIOR LIGHTING SWITCHES - SEALED ROCKER BAR: 
PR_65_72_00_00.2040B    TIME SWITCHES - 7 DAY: 
PR_65_72_00_00.2050A    LUMINAIRE CONNECTORS - GENERAL AND EMERGENCY LIGHTING: 
PR_65_72_00_00.2050B    LUMINAIRE CONNECTORS - GENERAL LIGHTING: 
PR_65_72_00_00.2050C    LUMINAIRE CONNECTORS - CORD GRIP GENERAL AND EMERGENCY LIGHTING: 
PR_65_72_00_00.2060A    LAMPHOLDERS - BC TYPE: 
PR_65_72_00_00.2060B    LAMPHOLDERS - ES TYPE: 
PR_65_72_00_00.2070A    ISOLATING SWITCHES - BS EN 60669-1: 
PR_65_72_00_00.2070B    ISOLATING SWITCHES - BS EN 60947-3: 
PR_65_72_00_00.2080A    FUSE CONNECTION UNITS - SWITCHED: 
PR_65_72_00_00.2080B    FUSE CONNECTION UNITS - UNSWITCHED: 
PR_65_72_00_00.2090A    SOCKET-OUTLETS - SINGLE, SWITCHED: 
PR_65_72_00_00.2090B    SOCKET-OUTLETS - SINGLE WITH INTEGRAL RCD, SWITCHED: 
PR_65_72_00_00.2090C    SOCKET-OUTLETS - DOUBLE SWITCHED: 
PR_65_72_00_00.2090D    SOCKET-OUTLETS - SINGLE, UNSWITCHED: 
PR_65_72_00_00.2100A    COOKER CONTROL UNIT - WITH INTEGRAL SOCKET: 
PR_65_72_00_00.2100B    COOKER CONTROL UNIT - WITHOUT SOCKET: 
PR_65_72_00_00.2120A    CABLE AND APPLIANCE COUPLERS - 16A, 240V SINGLE PHASE, GENERAL PURPOSE: 
PR_65_72_00_00.2130A    TELEPHONE AND DATA OUTLET SOCKETS - GENERAL PURPOSE: 
PR_65_72_00_00.2140A    TELEPHONE CORD OUTLETS - GENERAL PURPOSE: 
PR_65_72_00_00.2190A    SHAVER POINTS - BATHROOM AND WASHROOM USE: 
PR_65_72_00_00.2200A    INDICATOR LAMPS - GENERAL PURPOSE LED: 
PR_65_72_00_00.3010    EARTHING: 
PR_65_72_00_00.3020    PROTECTION: 
PR_65_72_00_00.3030    FIXING: 
PR_65_72_00_00.3040    MEASURING MOUNTING HEIGHTS: 
PR_65_72_00_00.3050    STANDARD ACCESSORIES MOUNTING HEIGHTS: 
PR_65_72_00_00.3070    ACCESSORIES MOUNTING HEIGHTS: 
PR_65_70_46_00    EARTHING AND BONDING
PR_65_70_46_00.1000    GENERAL 
PR_65_70_46_00.1010            MATERIALS GENERALLY:
PR_65_70_46_00.2010A    CONDUCTORS FOR LIGHTNING PROTECTION SYSTEMS - HORIZONTAL AIR TERMINATIONS: 
PR_65_70_46_00.2010B    CONDUCTORS FOR LIGHTNING PROTECTION SYSTEMS - SELF SUPPORTING AIR TERMINATIONS: 
PR_65_70_46_00.2010C    CONDUCTORS TO EARTHING SYSTEMS TO BS 7430: 
PR_65_70_46_00.2020A    LIGHTNING PROTECTION CONDUCTOR JOINTS: 
PR_65_70_46_00.2020B    EARTHING SYSTEMS CONDUCTOR JOINTS: 
PR_65_70_46_00.2030A    TAPE FIXING DEVICES: 
PR_65_70_46_00.2040B    ROD EARTH ELECTRODES FOR SYSTEM EARTHING: 
PR_65_70_46_00.2040D    BUILDING OR STRUCTURAL ELEMENT EARTH ELECTRODES FOR SYSTEM EARTHING: 
PR_65_70_46_00.2060A    EARTH ELECTRODE CLAMPS: 
PR_65_70_46_00.2070A    EARTH ELECTRODE INSPECTION FACILITIES: 
PR_65_70_46_00.2090A    MAIN EARTHING CONDUCTOR 
PR_65_70_46_00.2090A    MAIN EQUIPOTENTIAL BONDS: 
PR_65_70_46_00.2100A    SUPPLEMENTARY EQUIPOTENTIAL BONDS: 
PR_65_70_46_00.2110A    CIRCUIT PROTECTIVE CONDUCTORS: 
PR_65_70_46_00.2120    EARTHING CLAMPS: 
PR_65_70_46_00.2130A    MAIN EARTH BARS: 
PR_65_70_46_00.2140    TEST LINKS: 
PR_65_70_46_00.2150    LUGS/TAGS: 
PR_65_70_46_00.2160    PROTECTIVE CABLE TERMINATIONS: 
PR_65_70_46_00.2170    PROTECTIVE CONDUCTOR WARNING NOTICES/LABELS: 
PR_65_70_46_00.2180    MAIN EARTH CONDUCTOR - WARNING TAPES: 
PR_65_70_46_00.2190    EARTH BAR LABEL: 
PR_65_70_46_00.3010    CLEAN EARTH DISTRIBUTION: 
PR_65_70_46_00.3020    DISSIMILAR METALS: 
PR_65_70_46_00.3030A    COPPER TAPE JOINTS: 
PR_65_70_46_00.3030B    ALUMINIUM TAPE JOINTS: 
PR_65_70_46_00.3040    STRANDED CONDUCTOR JOINTS: 
PR_65_70_46_00.3050A    PROTECTIVE CABLE TERMINATIONS: 
PR_65_70_46_00.3060A    EARTH ELECTRODES: 
AC_70_65_00_00    TESTING AND COMMISSIONING OF ELECTRICAL SERVICES
AC_70_65_00_00.2010A    INCORPORATED EQUIPMENT CHARACTERISTICS: 
AC_70_65_00_00.2020A    PROSPECTIVE SHORT CIRCUIT CURRENT: 
AC_70_65_00_00.2030A    INITIAL VERIFICATION: 
AC_70_65_00_00.2040A    TEST EQUIPMENT AND CONSUMABLES: 
AC_70_65_00_00.2050A    TESTING 
AC_70_65_00_00.2070A    EARTH FAULT LOOP IMPEDANCE: 
AC_70_65_00_00.2080    SETTINGS AND ADJUSTMENTS: 
AC_70_65_00_00.2090A    STANDBY GENERATORS: 
AC_70_65_00_00.2100A    HV AND LV SWITCHGEAR: 
AC_70_65_00_00.2110A    HV POWER TRANSFORMERS: 
AC_70_65_00_00.2120A    FIRE DETECTION AND ALARM INSTALLATIONS: 
AC_70_65_00_00.2120E    EMERGENCY LIGHTING INSTALLATIONS: 
AC_70_65_00_00.2130    CALIBRATION: 
AC_70_65_00_00.2140A    CERTIFICATION AND REPORTING: 
AC_70_65_00_00.2150A    INSTALLATION CERTIFICATES: 
AC_70_65_00_00.2160    RECORDS: 
AC_70_65_00_00.3010    CONDUCTIVE PARTS: 
AC_70_65_00_00.3030A    HIGH VOLTAGE TESTS: 
AC_70_65_00_00.3040A    LV BURIED CABLES: 
PR_40_10_57_24    IDENTIFICATION - ELECTRICAL
PR_40_10_57_24.2010A    LABELS AND NOTICES: 
PR_40_10_57_24.2020A    MATERIALS: 
PR_40_10_57_24.2030A    FIXING - INTERNAL: 
PR_40_10_57_24.2040A    ARRANGEMENT: 
PR_40_10_57_24.2050A    LETTERING AND SIZE OF LABELS AND NOTICES: 
PR_40_10_57_24.2060A    CONDUCTOR ARRANGEMENT: 
PR_40_10_57_24.2070A    SAFETY SIGNS: 
PR_40_10_57_24.2080A    PLANT AND EQUIPMENT LABELS: 
PR_40_10_57_24.2090    MAINTENANCE NOTICES: 
PR_40_10_57_24.2100    COLOUR CORRECTED LIGHT FITTINGS: 
PR_40_10_57_24.2110A    MOTORS AND STARTERS LABELS: 
PR_40_10_57_24.2120A    LABELLED ACCESSORY PLATES - ENGRAVED: 
PR_40_10_57_24.2130A    SWITCHGEAR: 
PR_40_10_57_24.2140    DISTRIBUTION BOARDS: 
PR_40_10_57_24.2150A    SCHEMATIC DIAGRAMS: 
PR_40_10_57_24.2160A    SPECIAL PURPOSE EARTHING: 
PR_40_10_57_24.2170A    INDICATOR LAMPS AND PUSH BUTTONS FOR POWER SYSTEMS: 
PR_40_10_57_24.2180A    CONDUIT AND TRUNKING COLOUR CODING: 
